Date,City,NO2,O3,CO,PM2.5,AQI,Month,Wind_Speed,Precip,Temp,Target_AQI,AQI_Lag1,AQI_7Day_Mean
1999-03-26,Los Angeles,46.695652,0.036706,2.283333,34.4,64.0,3,7.192208000000001,0.0,55.04,54.0,100.0,66.0
1999-03-27,Atlanta,30.375,0.0075,0.833333,23.9,76.0,3,3.88768,0.0,46.94,102.0,61.0,81.42857142857143
1999-03-27,Los Angeles,40.695652,0.041706,1.782609,33.5,54.0,3,6.025904000000001,0.0,60.08,94.0,64.0,65.42857142857143
1999-03-28,Atlanta,45.166667,0.0075,1.158333,26.8,102.0,3,3.88768,0.0,55.04,83.0,76.0,84.42857142857143
1999-03-28,Los Angeles,43.0,0.037529,2.508333,32.6,94.0,3,4.8596,0.0,57.02,98.0,54.0,70.57142857142857
1999-03-29,Atlanta,40.208333,0.0075,1.020833,27.1,83.0,3,6.9978240000000005,0.0196850393700787,55.94,74.0,102.0,83.28571428571429
1999-03-29,Los Angeles,62.391304,0.045118,2.666667,25.76666666666667,98.0,3,5.053984,0.0,59.0,56.0,94.0,75.14285714285714
1999-03-30,Atlanta,33.470588,0.0075,0.683333,23.0,74.0,3,9.136048,0.0,55.94,91.0,83.0,80.85714285714286
1999-03-30,Los Angeles,43.304348,0.043176,1.779167,18.933333333333337,56.0,3,8.941664000000001,0.0,57.92,51.0,98.0,74.85714285714286
1999-03-31,Atlanta,21.208333,0.0075,0.45,31.2,91.0,3,10.107968,0.4291338582677165,55.04,68.0,74.0,82.14285714285714
1999-03-31,Los Angeles,32.0,0.037647,1.365217,12.1,51.0,3,13.023728,0.0,55.94,55.0,56.0,73.85714285714286
1999-04-01,Atlanta,30.166667,0.024,1.091667,20.4,68.0,4,3.498912,0.0590551181102362,64.94,80.0,91.0,79.28571428571429
1999-04-01,Los Angeles,38.478261,0.036118,1.36087,12.6,55.0,4,7.192208000000001,0.0905511811023622,55.04,61.0,51.0,67.42857142857143
1999-04-02,Atlanta,46.375,0.029471,1.716667,24.3,80.0,4,2.526992,0.0,68.0,80.0,68.0,82.0
1999-04-02,Los Angeles,40.695652,0.034471,1.495833,13.1,61.0,4,8.164128,0.0,53.06,54.0,55.0,67.0
1999-04-03,Atlanta,32.458333,0.041176,1.625,25.9,80.0,4,5.053984,0.0,73.94,46.0,80.0,82.57142857142857
1999-04-03,Los Angeles,38.217391,0.043,1.183333,13.6,54.0,4,12.440576,0.0,55.04,48.0,61.0,67.0
1999-04-04,Atlanta,16.333333,0.023824,0.604167,11.0,46.0,4,4.276448,0.0,71.06,71.0,80.0,74.57142857142857
1999-04-04,Los Angeles,38.217391,0.040235,1.182609,13.866666666666667,48.0,4,7.969744000000001,0.0,53.96,50.0,54.0,60.42857142857143
1999-04-05,Atlanta,33.666667,0.046294,1.195833,15.1,71.0,4,3.693296,0.0,73.04,75.0,46.0,72.85714285714286
1999-04-05,Los Angeles,38.217391,0.039353,1.6125,14.133333333333333,50.0,4,8.164128,0.0,53.96,56.0,48.0,53.57142857142857
1999-04-06,Atlanta,21.529412,0.018294,0.9375,23.6,75.0,4,6.9978240000000005,0.0,66.92,74.0,71.0,73.0
1999-04-06,Los Angeles,38.217391,0.029588,1.417391,14.4,56.0,4,7.192208000000001,0.4212598425196851,53.96,48.0,50.0,53.57142857142857
1999-04-07,Atlanta,27.458333,0.024118,0.808333,23.2,74.0,4,3.498912,0.0314960629921259,71.06,89.0,75.0,70.57142857142857
1999-04-07,Los Angeles,38.217391,0.037118,1.1625,12.766666666666667,48.0,4,8.164128,0.2992125984251968,51.98,44.0,56.0,53.142857142857146
1999-04-08,Atlanta,20.416667,0.022941,0.904167,30.3,89.0,4,6.414672,0.0,73.94,39.0,74.0,73.57142857142857
1999-04-08,Los Angeles,31.173913,0.044176,1.454167,11.133333333333333,44.0,4,12.051808,0.0590551181102362,55.04,46.0,48.0,51.57142857142857
1999-04-09,Atlanta,12.75,0.0332,0.6,31.05,39.0,4,11.468656,0.0,73.94,92.0,89.0,67.71428571428571
1999-04-09,Los Angeles,36.695652,0.033471,1.178261,9.5,46.0,4,14.773184,0.0,51.98,61.0,44.0,49.42857142857143
1999-04-10,Atlanta,22.0,0.028706,0.854167,31.8,92.0,4,4.470832000000001,0.0,73.94,74.0,39.0,69.42857142857143
1999-04-10,Los Angeles,42.086957,0.041118,1.6875,8.233333333333334,61.0,4,7.386592,0.0,55.04,53.0,46.0,50.42857142857143
1999-04-11,Atlanta,14.166667,0.050294,0.558333,16.2,74.0,4,11.079888,0.0314960629921259,73.94,64.0,92.0,73.42857142857143
1999-04-11,Los Angeles,32.478261,0.040882,1.05,6.966666666666667,53.0,4,8.358512,1.3503937007874018,53.06,51.0,61.0,51.142857142857146
1999-04-12,Atlanta,13.375,0.048235,0.279167,11.0,64.0,4,13.995648,0.0,62.959999999999994,63.0,74.0,72.42857142857143
1999-04-12,Los Angeles,42.173913,0.035706,1.734783,5.7,51.0,4,6.414672,0.0118110236220472,51.8077904308943,64.0,53.0,51.285714285714285
1999-04-13,Atlanta,23.958333,0.036647,0.458333,17.6,63.0,4,7.386592,0.0,57.92,90.0,64.0,70.71428571428571
1999-04-13,Los Angeles,45.26087,0.042083,1.417391,21.533333333333335,64.0,4,6.609056000000001,0.0,56.67135058064517,105.0,51.0,52.42857142857143
1999-04-14,Atlanta,21.708333,0.060529,0.85,16.8,90.0,4,7.77536,0.0,62.059999999999995,62.0,63.0,73.0
1999-04-14,Los Angeles,78.73913,0.042,2.713043,37.36666666666667,105.0,4,5.248368,0.0,57.92,145.0,64.0,60.57142857142857
1999-04-15,Atlanta,15.333333,0.046588,0.745833,17.2,62.0,4,10.496736,0.531496062992126,64.94,49.0,90.0,69.14285714285714
