Date,Nitrogen Dioxide AQI Value,Main Pollutant,Site Name,Site ID,Source
2010-09-20,42,Unknown,Pomona,06-037-1701,AQS
2010-09-21,52,Unknown,Lancaster-Division Street,06-037-9033,AQS
2010-09-22,41,Unknown,Pomona,06-037-1701,AQS
2010-09-23,48,Unknown,Pomona,06-037-1701,AQS
2010-09-24,77,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2010-09-25,74,Unknown,Long Beach (Hudson),06-037-4006,AQS
2010-09-26,71,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2010-09-27,104,Unknown,Long Beach (Hudson),06-037-4006,AQS
2010-09-28,65,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2010-09-29,56,Unknown,Burbank,06-037-1002,AQS
2010-09-30,63,Unknown,Pico Rivera #2,06-037-1602,AQS
2010-10-01,55,Unknown,Burbank,06-037-1002,AQS
2010-10-02,46,Unknown,Pomona,06-037-1701,AQS
2010-10-03,33,Unknown,Burbank,06-037-1002,AQS
2010-10-04,31,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2010-10-05,31,Unknown,Compton,06-037-1302,AQS
2010-10-06,36,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2010-10-07,39,Unknown,Pomona,06-037-1701,AQS
2010-10-08,46,Unknown,Pomona,06-037-1701,AQS
2010-10-09,67,Unknown,Long Beach (Hudson),06-037-4006,AQS
2010-10-10,58,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2010-10-11,51,Unknown,Burbank,06-037-1002,AQS
2010-10-12,45,Unknown,Pasadena,06-037-2005,AQS
2010-10-13,52,Unknown,Pomona,06-037-1701,AQS
2010-10-14,50,Unknown,Lancaster-Division Street,06-037-9033,AQS
2010-10-15,43,Unknown,Lancaster-Division Street,06-037-9033,AQS
2010-10-16,32,Unknown,Glendora,06-037-0016,AQS
2010-10-17,26,Unknown,Long Beach (Hudson),06-037-4006,AQS
2010-10-18,39,Unknown,Glendora,06-037-0016,AQS
2010-10-19,36,Unknown,Long Beach (Hudson),06-037-4006,AQS
2010-10-20,34,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2010-10-21,30,Unknown,Azusa,06-037-0002,AQS
2010-10-22,32,Unknown,Long Beach (Hudson),06-037-4006,AQS
2010-10-23,30,Unknown,Pomona,06-037-1701,AQS
2010-10-24,24,Unknown,Long Beach (Hudson),06-037-4006,AQS
2010-10-25,38,Unknown,Long Beach (Hudson),06-037-4006,AQS
2010-10-26,42,Unknown,Long Beach (Hudson),06-037-4006,AQS
2010-10-27,55,Unknown,Long Beach (Hudson),06-037-4006,AQS
2010-10-28,58,Unknown,Long Beach (Hudson),06-037-4006,AQS
2010-10-29,67,Unknown,Long Beach (Hudson),06-037-4006,AQS
2010-10-30,26,Unknown,Costa Mesa,06-059-1003,AQS
2010-10-31,32,Unknown,Reseda,06-037-1201,AQS
2010-11-01,68,Unknown,Long Beach (Hudson),06-037-4006,AQS
2010-11-02,80,Unknown,Long Beach (Hudson),06-037-4006,AQS
2010-11-03,71,Unknown,Anaheim,06-059-0007,AQS
2010-11-04,70,Unknown,Long Beach (Hudson),06-037-4006,AQS
2010-11-05,68,Unknown,LAX Hastings,06-037-5005,AQS
2010-11-06,47,Unknown,West Los Angeles,06-037-0113,AQS
2010-11-07,28,Unknown,Compton,06-037-1302,AQS
2010-11-08,34,Unknown,Pomona,06-037-1701,AQS
2010-11-09,44,Unknown,Pomona,06-037-1701,AQS
