STATION,NAME,DATE,TMAX,TMIN,TAVG,PRCP
US1CALA0090,"GLENDALE 3.0 ESE, CA US",2022-01-03,,,,
USR0000CCLA,"CLAREMONT CALIFORNIA, CA US",2022-01-03,47.0,61.0,36.0,
US1CALA0048,"SANTA MONICA 1.3 NNE, CA US",2022-01-03,,,,
USR0000CLTU,"LITTLE TUJUNGA CALIFORNIA, CA US",2022-01-03,50.0,64.0,41.0,
USR0000CPOP,"POPPY PARK CALIFORNIA, CA US",2022-01-03,41.0,59.0,26.0,
US1CALA0010,"WHITTIER 2.9 WNW, CA US",2022-01-03,,,,
USC00042090,"COVINA CITY YARD FC387B, CA US",2022-01-03,,,,
USR0000CMIL,"MILL CREEK ANF CALIFORNIA, CA US",2022-01-03,45.0,54.0,40.0,
USR0000CCHI,"CHILAO CALIFORNIA, CA US",2022-01-03,47.0,58.0,40.0,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",2022-01-03,,58.0,40.0,
USC00042214,"CULVER CITY, CA US",2022-01-03,,62.0,41.0,58.0
USR0000CSAD,"SADDLEBACK BUTTE CALIFORNIA, CA US",2022-01-03,35.0,54.0,19.0,
USW00023130,"VAN NUYS AIRPORT, CA US",2022-01-03,,67.0,35.0,
USC00049785,"WOODLAND HILLS PIERCE COLLEGE, CA US",2022-01-03,,68.0,30.0,64.0
USW00003159,"LANCASTER, CA US",2022-01-03,,51.0,23.0,
USC00046663,"PALOS VERDES ES FC43D, CA US",2022-01-03,,,,
USC00046719,"PASADENA, CA US",2022-01-03,,66.0,40.0,42.0
USC00042941,"FAIRMONT, CA US",2022-01-03,,46.0,28.0,45.0
US1CALA0014,"CANYON COUNTRY 2.6 E, CA US",2022-01-03,,,,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",2022-01-03,,69.0,34.0,37.0
USR0000CWHH,"WHITTIER HILLS CALIFORNIA, CA US",2022-01-03,53.0,63.0,47.0,
USC00047326,"REDONDO BEACH, CA US",2022-01-03,,62.0,39.0,57.0
USR0000CBIP,"BIG PINES CALIFORNIA, CA US",2022-01-03,41.0,52.0,36.0,
USR0000CDVA,"DEL VALLE CALIFORNIA, CA US",2022-01-03,47.0,64.0,35.0,
USC00046624,"PALMDALE, CA US",2022-01-03,,52.0,25.0,27.0
USC00049152,"U C L A, CA US",2022-01-03,,63.0,47.0,58.0
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2022-01-04,,60.0,44.0,
US1CALA0021,"ARCADIA 2.1 NNE, CA US",2022-01-04,,,,
USC00040144,"ALTADENA, CA US",2022-01-04,,,,
US1CALA0068,"ARTESIA 0.5 W, CA US",2022-01-04,,,,
USR0000CVAY,"VALYERMO CALIFORNIA, CA US",2022-01-04,47.0,62.0,33.0,
USR0000CPOP,"POPPY PARK CALIFORNIA, CA US",2022-01-04,49.0,59.0,43.0,
US1CALA0091,"PASADENA 0.8 ENE, CA US",2022-01-04,,,,
USR0000CSAU,"SAUGUS CALIFORNIA, CA US",2022-01-04,52.0,66.0,38.0,
USR0000CMIL,"MILL CREEK ANF CALIFORNIA, CA US",2022-01-04,48.0,57.0,40.0,
USW00023130,"VAN NUYS AIRPORT, CA US",2022-01-04,,68.0,37.0,
US1CALA0092,"REDONDO BEACH 2.1 SSW, CA US",2022-01-04,,,,
USR0000CBIP,"BIG PINES CALIFORNIA, CA US",2022-01-04,43.0,53.0,36.0,
USR0000CWPK,"WHITAKER PEAK CALIFORNIA, CA US",2022-01-04,47.0,58.0,40.0,
USW00003167,"HAWTHORNE MUNICIPAL AIRPORT, CA US",2022-01-04,,62.0,45.0,
US1CALA0104,"SAN FERNANDO 7.8 SW, CA US",2022-01-04,,,,
USC00047776,"SAN GABRIEL CANYON PH, CA US",2022-01-04,,,,
USC00042214,"CULVER CITY, CA US",2022-01-04,,60.0,44.0,
USC00042941,"FAIRMONT, CA US",2022-01-04,,54.0,27.0,45.0
