Date,Ozone AQI Value,Main Pollutant,Site Name,Site ID,Source
2005-05-01,54,Unknown,Newnan,13-077-0002,AQS
2005-05-02,54,Unknown,Newnan,13-077-0002,AQS
2005-05-03,50,Unknown,Newnan,13-077-0002,AQS
2005-05-04,74,Unknown,Gwinnett,13-135-0002,AQS
2005-05-05,45,Unknown,Conyers,13-247-0001,AQS
2005-05-06,71,Unknown,Douglasville,13-097-0004,AQS
2005-05-07,129,Unknown,Douglasville,13-097-0004,AQS
2005-05-08,151,Unknown,United Avenue,13-121-0055,AQS
2005-05-09,140,Unknown,Gwinnett,13-135-0002,AQS
2005-05-10,77,Unknown,McDonough,13-151-0002,AQS
2005-05-11,133,Unknown,DOT STORAGE FACILITY,13-113-0001,AQS
2005-05-12,197,Unknown,Douglasville,13-097-0004,AQS
2005-05-13,129,Unknown,Kennesaw,13-067-0003,AQS
2005-05-14,87,Unknown,Gwinnett,13-135-0002,AQS
2005-05-15,44,Unknown,Newnan,13-077-0002,AQS
2005-05-16,108,Unknown,McDonough,13-151-0002,AQS
2005-05-17,147,Unknown,Gwinnett,13-135-0002,AQS
2005-05-18,140,Unknown,"Yorkville, King Farm",13-223-0003,AQS
2005-05-19,122,Unknown,Dawsonville,13-085-0001,AQS
2005-05-20,43,Unknown,Dawsonville,13-085-0001,AQS
2005-05-21,50,Unknown,Douglasville,13-097-0004,AQS
2005-05-22,61,Unknown,Gwinnett,13-135-0002,AQS
2005-05-23,97,Unknown,Tucker-Idlewood Road,13-089-3001,AQS
2005-05-24,100,Unknown,Conyers,13-247-0001,AQS
2005-05-25,77,Unknown,Georgia Station,13-231-9991,AQS
2005-05-26,108,Unknown,McDonough,13-151-0002,AQS
2005-05-27,140,Unknown,Conyers,13-247-0001,AQS
2005-05-28,119,Unknown,Conyers,13-247-0001,AQS
2005-05-29,41,Unknown,Georgia Station,13-231-9991,AQS
2005-05-30,35,Unknown,Georgia Station,13-231-9991,AQS
2005-05-31,36,Unknown,Dawsonville,13-085-0001,AQS
2005-06-01,40,Unknown,Dawsonville,13-085-0001,AQS
2005-06-02,32,Unknown,Georgia Station,13-231-9991,AQS
2005-06-03,34,Unknown,"Yorkville, King Farm",13-223-0003,AQS
2005-06-04,71,Unknown,Kennesaw,13-067-0003,AQS
2005-06-05,41,Unknown,United Avenue,13-121-0055,AQS
2005-06-06,77,Unknown,Kennesaw,13-067-0003,AQS
2005-06-07,80,Unknown,Gwinnett,13-135-0002,AQS
2005-06-08,105,Unknown,Kennesaw,13-067-0003,AQS
2005-06-09,67,Unknown,United Avenue,13-121-0055,AQS
2005-06-10,24,Unknown,"Yorkville, King Farm",13-223-0003,AQS
2005-06-11,30,Unknown,Kennesaw,13-067-0003,AQS
2005-06-12,23,Unknown,Kennesaw,13-067-0003,AQS
2005-06-13,93,Unknown,Conyers,13-247-0001,AQS
2005-06-14,129,Unknown,Gwinnett,13-135-0002,AQS
2005-06-15,126,Unknown,Conyers,13-247-0001,AQS
2005-06-16,108,Unknown,Conyers,13-247-0001,AQS
2005-06-17,122,Unknown,Tucker-Idlewood Road,13-089-3001,AQS
2005-06-18,177,Unknown,Conyers,13-247-0001,AQS
2005-06-19,93,Unknown,Douglasville,13-097-0004,AQS
2005-06-20,115,Unknown,Douglasville,13-097-0004,AQS
2005-06-21,67,Unknown,Gwinnett,13-135-0002,AQS
2005-06-22,159,Unknown,McDonough,13-151-0002,AQS
2005-06-23,187,Unknown,Douglasville,13-097-0004,AQS
2005-06-24,150,Unknown,Douglasville,13-097-0004,AQS
2005-06-25,140,Unknown,Douglasville,13-097-0004,AQS
2005-06-26,48,Unknown,Douglasville,13-097-0004,AQS
2005-06-27,47,Unknown,Kennesaw,13-067-0003,AQS
2005-06-28,44,Unknown,"Yorkville, King Farm",13-223-0003,AQS
2005-06-29,87,Unknown,Kennesaw,13-067-0003,AQS
2005-06-30,156,Unknown,Conyers,13-247-0001,AQS
2005-07-01,108,Unknown,Gwinnett,13-135-0002,AQS
2005-07-02,122,Unknown,United Avenue,13-121-0055,AQS
2005-07-03,50,Unknown,Douglasville,13-097-0004,AQS
2005-07-04,46,Unknown,Kennesaw,13-067-0003,AQS
2005-07-05,41,Unknown,Gwinnett,13-135-0002,AQS
2005-07-06,37,Unknown,Georgia Station,13-231-9991,AQS
2005-07-07,32,Unknown,Douglasville,13-097-0004,AQS
2005-07-08,156,Unknown,McDonough,13-151-0002,AQS
2005-07-09,87,Unknown,Douglasville,13-097-0004,AQS
2005-07-10,16,Unknown,"Yorkville, King Farm",13-223-0003,AQS
2005-07-11,25,Unknown,"Yorkville, King Farm",13-223-0003,AQS
2005-07-12,33,Unknown,Gwinnett,13-135-0002,AQS
2005-07-13,42,Unknown,Dawsonville,13-085-0001,AQS
2005-07-14,77,Unknown,Gwinnett,13-135-0002,AQS
2005-07-15,35,Unknown,Dawsonville,13-085-0001,AQS
2005-07-16,28,Unknown,Gwinnett,13-135-0002,AQS
2005-07-17,38,Unknown,Gwinnett,13-135-0002,AQS
2005-07-18,84,Unknown,Gwinnett,13-135-0002,AQS
2005-07-19,44,Unknown,Kennesaw,13-067-0003,AQS
2005-07-20,74,Unknown,Tucker-Idlewood Road,13-089-3001,AQS
2005-07-21,74,Unknown,Kennesaw,13-067-0003,AQS
2005-07-22,108,Unknown,McDonough,13-151-0002,AQS
2005-07-23,140,Unknown,Newnan,13-077-0002,AQS
2005-07-24,147,Unknown,United Avenue,13-121-0055,AQS
2005-07-25,209,Unknown,United Avenue,13-121-0055,AQS
2005-07-26,205,Unknown,McDonough,13-151-0002,AQS
2005-07-27,164,Unknown,Conyers,13-247-0001,AQS
2005-07-28,87,Unknown,Tucker-Idlewood Road,13-089-3001,AQS
2005-07-29,50,Unknown,Douglasville,13-097-0004,AQS
2005-07-30,38,Unknown,Douglasville,13-097-0004,AQS
2005-07-31,47,Unknown,Douglasville,13-097-0004,AQS
2005-08-01,44,Unknown,"Yorkville, King Farm",13-223-0003,AQS
2005-08-02,112,Unknown,Douglasville,13-097-0004,AQS
2005-08-03,159,Unknown,Douglasville,13-097-0004,AQS
2005-08-04,151,Unknown,Douglasville,13-097-0004,AQS
2005-08-05,97,Unknown,Douglasville,13-097-0004,AQS
2005-08-06,58,Unknown,Douglasville,13-097-0004,AQS
2005-08-07,31,Unknown,Douglasville,13-097-0004,AQS
2005-08-08,45,Unknown,"Yorkville, King Farm",13-223-0003,AQS
2005-08-09,46,Unknown,"Yorkville, King Farm",13-223-0003,AQS
2005-08-10,43,Unknown,DOT STORAGE FACILITY,13-113-0001,AQS
2005-08-11,112,Unknown,Douglasville,13-097-0004,AQS
2005-08-12,84,Unknown,McDonough,13-151-0002,AQS
2005-08-13,93,Unknown,Tucker-Idlewood Road,13-089-3001,AQS
2005-08-14,93,Unknown,McDonough,13-151-0002,AQS
2005-08-15,122,Unknown,Newnan,13-077-0002,AQS
2005-08-16,87,Unknown,Kennesaw,13-067-0003,AQS
2005-08-17,112,Unknown,Tucker-Idlewood Road,13-089-3001,AQS
2005-08-18,87,Unknown,Gwinnett,13-135-0002,AQS
2005-08-19,67,Unknown,Conyers,13-247-0001,AQS
2005-08-20,126,Unknown,McDonough,13-151-0002,AQS
2005-08-21,93,Unknown,McDonough,13-151-0002,AQS
2005-08-22,129,Unknown,McDonough,13-151-0002,AQS
2005-08-23,74,Unknown,South DeKalb,13-089-0002,AQS
2005-08-24,93,Unknown,"Yorkville, King Farm",13-223-0003,AQS
2005-08-25,49,Unknown,"Yorkville, King Farm",13-223-0003,AQS
2005-08-26,156,Unknown,Douglasville,13-097-0004,AQS
2005-08-27,100,Unknown,Douglasville,13-097-0004,AQS
2005-08-28,38,Unknown,"Yorkville, King Farm",13-223-0003,AQS
2005-08-29,26,Unknown,Dawsonville,13-085-0001,AQS
2005-08-30,34,Unknown,Dawsonville,13-085-0001,AQS
2005-08-31,97,Unknown,McDonough,13-151-0002,AQS
2005-09-01,133,Unknown,DOT STORAGE FACILITY,13-113-0001,AQS
2005-09-02,136,Unknown,DOT STORAGE FACILITY,13-113-0001,AQS
2005-09-03,129,Unknown,Douglasville,13-097-0004,AQS
2005-09-04,119,Unknown,Douglasville,13-097-0004,AQS
2005-09-05,74,Unknown,Douglasville,13-097-0004,AQS
2005-09-06,50,Unknown,Douglasville,13-097-0004,AQS
2005-09-07,71,Unknown,Douglasville,13-097-0004,AQS
2005-09-08,77,Unknown,Newnan,13-077-0002,AQS
2005-09-09,119,Unknown,Newnan,13-077-0002,AQS
2005-09-10,164,Unknown,Douglasville,13-097-0004,AQS
2005-09-11,119,Unknown,Douglasville,13-097-0004,AQS
2005-09-12,150,Unknown,Georgia Station,13-231-9991,AQS
2005-09-13,147,Unknown,McDonough,13-151-0002,AQS
2005-09-14,136,Unknown,McDonough,13-151-0002,AQS
2005-09-15,126,Unknown,McDonough,13-151-0002,AQS
2005-09-16,84,Unknown,McDonough,13-151-0002,AQS
2005-09-17,49,Unknown,Tucker-Idlewood Road,13-089-3001,AQS
2005-09-18,100,Unknown,Conyers,13-247-0001,AQS
2005-09-19,154,Unknown,DOT STORAGE FACILITY,13-113-0001,AQS
2005-09-20,154,Unknown,Kennesaw,13-067-0003,AQS
2005-09-21,143,Unknown,"Yorkville, King Farm",13-223-0003,AQS
