STATION,NAME,DATE,TAVG,TMAX,TMIN
US1GADK0001,"TUCKER 1.3 ENE, GA US",2022-07-25,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",2022-07-25,,,
US1GADK0057,"ATLANTA 4.4 E, GA US",2022-07-25,,,
US1GACB0002,"SMYRNA 2.3 NE, GA US",2022-07-25,,,
US1GAFT0067,"COLLEGE PARK 1.6 NNW, GA US",2022-07-25,,,
US1GADK0064,"DECATUR 2.6 NNE, GA US",2022-07-25,,,
US1GAGW0062,"TUCKER 2.3 NNE, GA US",2022-07-25,,,
USC00092753,"DORAVILLE 2 NNE, GA US",2022-07-25,,,
US1GADK0002,"TUCKER 2.3 W, GA US",2022-07-25,,,
US1GADK0049,"AVONDALE ESTATES 0.4 ESE, GA US",2022-07-25,,,
US1GACB0037,"SMYRNA 0.4 NE, GA US",2022-07-25,,,
US1GADK0013,"DECATUR 1.2 SE, GA US",2022-07-26,,,
US1GAFT0005,"ATLANTA 3.7 N, GA US",2022-07-26,,,
US1GADK0051,"TUCKER 0.6 N, GA US",2022-07-26,,,
US1GADK0061,"CHAMBLEE 1.2 SW, GA US",2022-07-26,,,
US1GADK0060,"DECATUR 3.9 SE, GA US",2022-07-26,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",2022-07-26,,,
US1GAFT0067,"COLLEGE PARK 1.6 NNW, GA US",2022-07-26,,,
US1GACB0037,"SMYRNA 0.4 NE, GA US",2022-07-26,,,
US1GADK0046,"DECATUR 4.3 NNE, GA US",2022-07-26,,,
US1GAGW0062,"TUCKER 2.3 NNE, GA US",2022-07-26,,,
US1GADK0033,"DECATUR 1.2 NE, GA US",2022-07-26,,,
US1GACB0068,"SMYRNA 0.2 ESE, GA US",2022-07-26,,,
US1GACB0016,"MARIETTA 8.3 NE, GA US",2022-07-26,,,
US1GADK0057,"ATLANTA 4.4 E, GA US",2022-07-26,,,
US1GACB0002,"SMYRNA 2.3 NE, GA US",2022-07-26,,,
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2022-07-26,,91.0,75.0
US1GADK0064,"DECATUR 2.6 NNE, GA US",2022-07-26,,,
US1GADK0036,"DUNWOODY 1.2 SW, GA US",2022-07-26,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",2022-07-26,,,
US1GADK0049,"AVONDALE ESTATES 0.4 ESE, GA US",2022-07-26,,,
US1GACB0004,"SANDY SPRINGS 3.2 WNW, GA US",2022-07-26,,,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",2022-07-26,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",2022-07-26,,,
US1GAFT0048,"ROSWELL 5.9 SE, GA US",2022-07-26,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2022-07-26,,92.0,74.0
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",2022-07-26,,90.0,73.0
US1GADK0001,"TUCKER 1.3 ENE, GA US",2022-07-26,,,
USC00092753,"DORAVILLE 2 NNE, GA US",2022-07-26,,,
USC00092753,"DORAVILLE 2 NNE, GA US",2022-07-27,,,
US1GADK0013,"DECATUR 1.2 SE, GA US",2022-07-27,,,
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",2022-07-27,,92.0,72.0
US1GACB0002,"SMYRNA 2.3 NE, GA US",2022-07-27,,,
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2022-07-27,,92.0,73.0
US1GACB0037,"SMYRNA 0.4 NE, GA US",2022-07-27,,,
US1GAFT0005,"ATLANTA 3.7 N, GA US",2022-07-27,,,
US1GADK0064,"DECATUR 2.6 NNE, GA US",2022-07-27,,,
US1GADK0046,"DECATUR 4.3 NNE, GA US",2022-07-27,,,
US1GADK0061,"CHAMBLEE 1.2 SW, GA US",2022-07-27,,,
US1GADK0051,"TUCKER 0.6 N, GA US",2022-07-27,,,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",2022-07-27,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",2022-07-27,,,
US1GADK0001,"TUCKER 1.3 ENE, GA US",2022-07-27,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",2022-07-27,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",2022-07-27,,,
US1GAGW0062,"TUCKER 2.3 NNE, GA US",2022-07-27,,,
US1GAFT0067,"COLLEGE PARK 1.6 NNW, GA US",2022-07-27,,,
US1GADK0033,"DECATUR 1.2 NE, GA US",2022-07-27,,,
US1GACB0016,"MARIETTA 8.3 NE, GA US",2022-07-27,,,
US1GADK0036,"DUNWOODY 1.2 SW, GA US",2022-07-27,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",2022-07-27,,,
US1GACB0004,"SANDY SPRINGS 3.2 WNW, GA US",2022-07-27,,,
US1GADK0057,"ATLANTA 4.4 E, GA US",2022-07-27,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2022-07-27,,93.0,74.0
US1GADK0049,"AVONDALE ESTATES 0.4 ESE, GA US",2022-07-27,,,
US1GACB0068,"SMYRNA 0.2 ESE, GA US",2022-07-27,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2022-07-28,,91.0,75.0
US1GADK0064,"DECATUR 2.6 NNE, GA US",2022-07-28,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",2022-07-28,,,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",2022-07-28,,,
USC00092753,"DORAVILLE 2 NNE, GA US",2022-07-28,,,
US1GACB0016,"MARIETTA 8.3 NE, GA US",2022-07-28,,,
US1GADK0061,"CHAMBLEE 1.2 SW, GA US",2022-07-28,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",2022-07-28,,,
US1GADK0001,"TUCKER 1.3 ENE, GA US",2022-07-28,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",2022-07-28,,,
US1GAFT0048,"ROSWELL 5.9 SE, GA US",2022-07-28,,,
US1GADK0051,"TUCKER 0.6 N, GA US",2022-07-28,,,
US1GADK0033,"DECATUR 1.2 NE, GA US",2022-07-28,,,
US1GAGW0062,"TUCKER 2.3 NNE, GA US",2022-07-28,,,
US1GACB0002,"SMYRNA 2.3 NE, GA US",2022-07-28,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",2022-07-28,,,
US1GAFT0005,"ATLANTA 3.7 N, GA US",2022-07-28,,,
US1GADK0046,"DECATUR 4.3 NNE, GA US",2022-07-28,,,
US1GADK0036,"DUNWOODY 1.2 SW, GA US",2022-07-28,,,
US1GACB0068,"SMYRNA 0.2 ESE, GA US",2022-07-28,,,
US1GACB0004,"SANDY SPRINGS 3.2 WNW, GA US",2022-07-28,,,
US1GAFT0067,"COLLEGE PARK 1.6 NNW, GA US",2022-07-28,,,
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",2022-07-28,,93.0,74.0
US1GADK0049,"AVONDALE ESTATES 0.4 ESE, GA US",2022-07-28,,,
US1GADK0013,"DECATUR 1.2 SE, GA US",2022-07-28,,,
US1GACB0037,"SMYRNA 0.4 NE, GA US",2022-07-28,,,
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2022-07-28,,93.0,75.0
US1GADK0046,"DECATUR 4.3 NNE, GA US",2022-07-29,,,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",2022-07-29,,,
US1GAGW0062,"TUCKER 2.3 NNE, GA US",2022-07-29,,,
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",2022-07-29,,91.0,72.0
US1GACB0016,"MARIETTA 8.3 NE, GA US",2022-07-29,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",2022-07-29,,,
US1GADK0001,"TUCKER 1.3 ENE, GA US",2022-07-29,,,
US1GAFT0048,"ROSWELL 5.9 SE, GA US",2022-07-29,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",2022-07-29,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",2022-07-29,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2022-07-29,,94.0,75.0
US1GADK0033,"DECATUR 1.2 NE, GA US",2022-07-29,,,
US1GADK0049,"AVONDALE ESTATES 0.4 ESE, GA US",2022-07-29,,,
US1GADK0060,"DECATUR 3.9 SE, GA US",2022-07-29,,,
US1GADK0013,"DECATUR 1.2 SE, GA US",2022-07-29,,,
US1GADK0051,"TUCKER 0.6 N, GA US",2022-07-29,,,
US1GACB0068,"SMYRNA 0.2 ESE, GA US",2022-07-29,,,
US1GADK0036,"DUNWOODY 1.2 SW, GA US",2022-07-29,,,
US1GAFT0005,"ATLANTA 3.7 N, GA US",2022-07-29,,,
US1GACB0002,"SMYRNA 2.3 NE, GA US",2022-07-29,,,
USC00092753,"DORAVILLE 2 NNE, GA US",2022-07-29,,,
US1GAFT0067,"COLLEGE PARK 1.6 NNW, GA US",2022-07-29,,,
US1GADK0064,"DECATUR 2.6 NNE, GA US",2022-07-29,,,
US1GACB0037,"SMYRNA 0.4 NE, GA US",2022-07-29,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",2022-07-29,,,
US1GADK0061,"CHAMBLEE 1.2 SW, GA US",2022-07-29,,,
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2022-07-29,,91.0,75.0
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2022-07-30,,90.0,72.0
US1GADK0049,"AVONDALE ESTATES 0.4 ESE, GA US",2022-07-30,,,
US1GADK0064,"DECATUR 2.6 NNE, GA US",2022-07-30,,,
US1GAFT0048,"ROSWELL 5.9 SE, GA US",2022-07-30,,,
US1GADK0036,"DUNWOODY 1.2 SW, GA US",2022-07-30,,,
US1GADK0051,"TUCKER 0.6 N, GA US",2022-07-30,,,
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",2022-07-30,,91.0,71.0
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2022-07-30,,91.0,73.0
US1GACB0002,"SMYRNA 2.3 NE, GA US",2022-07-30,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",2022-07-30,,,
US1GACB0004,"SANDY SPRINGS 3.2 WNW, GA US",2022-07-30,,,
US1GACB0016,"MARIETTA 8.3 NE, GA US",2022-07-30,,,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",2022-07-30,,,
US1GACB0037,"SMYRNA 0.4 NE, GA US",2022-07-30,,,
US1GAFT0067,"COLLEGE PARK 1.6 NNW, GA US",2022-07-30,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",2022-07-30,,,
US1GADK0061,"CHAMBLEE 1.2 SW, GA US",2022-07-30,,,
US1GADK0001,"TUCKER 1.3 ENE, GA US",2022-07-30,,,
US1GAGW0062,"TUCKER 2.3 NNE, GA US",2022-07-30,,,
US1GAFT0005,"ATLANTA 3.7 N, GA US",2022-07-30,,,
US1GACB0068,"SMYRNA 0.2 ESE, GA US",2022-07-30,,,
US1GADK0060,"DECATUR 3.9 SE, GA US",2022-07-30,,,
US1GADK0041,"DECATUR 2.6 NE, GA US",2022-07-30,,,
US1GADK0033,"DECATUR 1.2 NE, GA US",2022-07-30,,,
US1GADK0046,"DECATUR 4.3 NNE, GA US",2022-07-30,,,
US1GADK0013,"DECATUR 1.2 SE, GA US",2022-07-30,,,
US1GADK0032,"DECATUR 1.4 N, GA US",2022-07-30,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",2022-07-30,,,
USC00092753,"DORAVILLE 2 NNE, GA US",2022-07-30,,,
US1GADK0001,"TUCKER 1.3 ENE, GA US",2022-07-31,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",2022-07-31,,,
US1GADK0061,"CHAMBLEE 1.2 SW, GA US",2022-07-31,,,
