Date,Carbon Monoxide AQI Value,Main Pollutant,Site Name,Site ID,Source
2020-08-17,8,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2020-08-18,9,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-08-19,8,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2020-08-20,8,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2020-08-21,13,Unknown,Lancaster-Division Street,06-037-9033,AQS
2020-08-22,8,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-08-23,7,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-08-24,8,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-08-25,8,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2020-08-26,9,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2020-08-27,9,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2020-08-28,8,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-08-29,8,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-08-30,8,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-08-31,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-09-01,7,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-09-02,8,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-09-03,8,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-09-04,11,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2020-09-05,14,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-09-06,16,Unknown,Compton,06-037-1302,AQS
2020-09-07,11,Unknown,Lancaster-Division Street,06-037-9033,AQS
2020-09-08,8,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-09-09,11,Unknown,Azusa,06-037-0002,AQS
2020-09-10,19,Unknown,Pasadena,06-037-2005,AQS
2020-09-11,22,Unknown,Azusa,06-037-0002,AQS
2020-09-12,25,Unknown,Pasadena,06-037-2005,AQS
2020-09-13,17,Unknown,Azusa,06-037-0002,AQS
2020-09-14,23,Unknown,Azusa,06-037-0002,AQS
2020-09-15,19,Unknown,Compton,06-037-1302,AQS
2020-09-16,24,Unknown,Compton,06-037-1302,AQS
2020-09-17,16,Unknown,Pasadena,06-037-2005,AQS
2020-09-18,14,Unknown,Compton,06-037-1302,AQS
2020-09-19,11,Unknown,Azusa,06-037-0002,AQS
2020-09-20,10,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2020-09-21,8,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-09-22,9,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-09-23,11,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-09-24,10,Unknown,Azusa,06-037-0002,AQS
2020-09-25,9,Unknown,Reseda,06-037-1201,AQS
2020-09-26,7,Unknown,Azusa,06-037-0002,AQS
2020-09-27,7,Unknown,Anaheim Near-Road,06-059-0008,AQS
