"Date","Carbon Monoxide AQI Value","Main Pollutant","Site Name","Site ID","Source"
"04/04/2002","6","","Not Available","13-089-1002","AQS"
"04/05/2002","7","","Not Available","13-089-1002","AQS"
"04/06/2002","8","","Not Available","13-089-1002","AQS"
"04/07/2002","10","","Not Available","13-089-1002","AQS"
"04/08/2002","9","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"04/09/2002","10","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"04/10/2002","10","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"04/11/2002","10","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"04/12/2002","13","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"04/13/2002","10","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"04/14/2002","10","","Not Available","13-089-1002","AQS"
"04/15/2002","15","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"04/16/2002","20","","Not Available","13-089-1002","AQS"
"04/17/2002","17","","Not Available","13-089-1002","AQS"
"04/18/2002","18","","Not Available","13-089-1002","AQS"
"04/19/2002","17","","Not Available","13-089-1002","AQS"
"04/20/2002","9","","Not Available","13-089-1002","AQS"
"04/21/2002","8","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"04/22/2002","5","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"04/23/2002","10","","Not Available","13-089-1002","AQS"
"04/24/2002","15","","Not Available","13-089-1002","AQS"
"04/25/2002","7","","Not Available","13-089-1002","AQS"
"04/26/2002","10","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"04/27/2002","10","","Not Available","13-089-1002","AQS"
"04/28/2002","7","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"04/29/2002","9","","Not Available","13-089-1002","AQS"
"04/30/2002","14","","Not Available","13-089-1002","AQS"
"05/01/2002","10","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"05/02/2002","9","","Not Available","13-089-1002","AQS"
"05/03/2002","10","","Not Available","13-089-1002","AQS"
"05/04/2002","10","","Not Available","13-089-1002","AQS"
"05/05/2002","8","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"05/06/2002","10","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"05/07/2002","11","","Not Available","13-089-1002","AQS"
"05/08/2002","16","","Not Available","13-089-1002","AQS"
"05/09/2002","15","","Not Available","13-089-1002","AQS"
"05/10/2002","14","","Not Available","13-089-1002","AQS"
"05/11/2002","13","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"05/12/2002","8","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"05/13/2002","8","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"05/14/2002","6","","Not Available","13-089-1002","AQS"
"05/15/2002","13","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"05/16/2002","14","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"05/17/2002","11","","Not Available","13-089-1002","AQS"
"05/18/2002","5","","Not Available","13-089-1002","AQS"
"05/19/2002","3","","Not Available","13-089-1002","AQS"
"05/20/2002","7","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"05/21/2002","8","","Not Available","13-089-1002","AQS"
"05/22/2002","7","","Not Available","13-089-1002","AQS"
"05/23/2002","10","","Not Available","13-089-1002","AQS"
"05/24/2002","18","","Not Available","13-089-1002","AQS"
"05/25/2002","19","","Not Available","13-089-1002","AQS"
"05/26/2002","18","","Not Available","13-089-1002","AQS"
"05/27/2002","9","","Not Available","13-089-1002","AQS"
"05/28/2002","10","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"05/29/2002","11","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"05/30/2002","8","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"05/31/2002","9","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"06/01/2002","8","","Not Available","13-089-1002","AQS"
"06/02/2002","8","","Not Available","13-089-1002","AQS"
"06/03/2002","8","","Not Available","13-089-1002","AQS"
"06/04/2002","14","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"06/05/2002","11","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"06/06/2002","13","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"06/07/2002","10","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"06/08/2002","8","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"06/09/2002","8","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"06/10/2002","10","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"06/11/2002","13","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"06/12/2002","14","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"06/13/2002","19","","Not Available","13-089-1002","AQS"
"06/14/2002","8","","Not Available","13-089-1002","AQS"
"06/15/2002","8","","Not Available","13-089-1002","AQS"
"06/16/2002","10","","Not Available","13-089-1002","AQS"
"06/17/2002","9","","Not Available","13-089-1002","AQS"
"06/18/2002","13","","Not Available","13-089-1002","AQS"
"06/19/2002","9","","Not Available","13-089-1002","AQS"
"06/20/2002","9","","Not Available","13-089-1002","AQS"
"06/21/2002","8","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"06/22/2002","8","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"06/23/2002","8","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"06/24/2002","10","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"06/25/2002","11","","Not Available","13-089-1002","AQS"
"06/26/2002","11","","Not Available","13-089-1002","AQS"
"06/27/2002","8","","Not Available","13-089-1002","AQS"
"06/28/2002","7","","Not Available","13-089-1002","AQS"
"06/29/2002","7","","Not Available","13-089-1002","AQS"
"06/30/2002","9","","Not Available","13-089-1002","AQS"
"07/01/2002","13","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"07/02/2002","13","","Not Available","13-089-1002","AQS"
"07/03/2002","10","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"07/04/2002","13","","Not Available","13-089-1002","AQS"
"07/05/2002","13","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"07/06/2002","11","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"07/07/2002","7","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
