"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"10/07/2006","58","","United Avenue","13-121-0055","AQS"
"10/08/2006","52","","United Avenue","13-121-0055","AQS"
"10/09/2006","52","","United Avenue","13-121-0055","AQS"
"10/10/2006","62","","United Avenue","13-121-0055","AQS"
"10/11/2006","74","","United Avenue","13-121-0055","AQS"
"10/12/2006","58","","United Avenue","13-121-0055","AQS"
"10/13/2006","44","","United Avenue","13-121-0055","AQS"
"10/14/2006","55","","United Avenue","13-121-0055","AQS"
"10/15/2006","57","","United Avenue","13-121-0055","AQS"
"10/16/2006","61","","United Avenue","13-121-0055","AQS"
"10/17/2006","67","","South DeKalb","13-089-0002","AQS"
"10/18/2006","78","","United Avenue","13-121-0055","AQS"
"10/19/2006","98","","United Avenue","13-121-0055","AQS"
"10/20/2006","43","","United Avenue","13-121-0055","AQS"
"10/21/2006","59","","United Avenue","13-121-0055","AQS"
"10/22/2006","63","","United Avenue","13-121-0055","AQS"
"10/23/2006","55","","United Avenue","13-121-0055","AQS"
"10/24/2006","57","","United Avenue","13-121-0055","AQS"
"10/25/2006","67","","United Avenue","13-121-0055","AQS"
"10/26/2006","75","","United Avenue","13-121-0055","AQS"
"10/27/2006","56","","United Avenue","13-121-0055","AQS"
"10/28/2006","51","","United Avenue","13-121-0055","AQS"
"10/29/2006","60","","South DeKalb","13-089-0002","AQS"
"10/30/2006","63","","South DeKalb","13-089-0002","AQS"
"10/31/2006","74","","United Avenue","13-121-0055","AQS"
"11/01/2006","81","","United Avenue","13-121-0055","AQS"
"11/02/2006","52","","United Avenue","13-121-0055","AQS"
"11/03/2006","40","","United Avenue","13-121-0055","AQS"
"11/04/2006","57","","MACLAND AQUATIC CENTER","13-067-0004","AQS"
"11/05/2006","59","","United Avenue","13-121-0055","AQS"
"11/06/2006","59","","United Avenue","13-121-0055","AQS"
"11/07/2006","64","","Georgia Tech, Ford Environmental Science and Technology Bldg, roof","13-121-0048","AQS"
"11/08/2006","70","","Doraville","13-089-2001","AQS"
"11/09/2006","76","","United Avenue","13-121-0055","AQS"
"11/10/2006","89","","United Avenue","13-121-0055","AQS"
"11/11/2006","77","","Gwinnett","13-135-0002","AQS"
"11/12/2006","46","","E. Rivers School","13-121-0032","AQS"
"11/13/2006","71","","South DeKalb","13-089-0002","AQS"
"11/14/2006","68","","United Avenue","13-121-0055","AQS"
"11/15/2006","71","","United Avenue","13-121-0055","AQS"
"11/16/2006","37","","United Avenue","13-121-0055","AQS"
"11/17/2006","54","","United Avenue","13-121-0055","AQS"
"11/18/2006","63","","Doraville","13-089-2001","AQS"
"11/19/2006","76","","Georgia Tech, Ford Environmental Science and Technology Bldg, roof","13-121-0048","AQS"
"11/20/2006","52","","South DeKalb","13-089-0002","AQS"
"11/21/2006","66","","Doraville","13-089-2001","AQS"
"11/22/2006","54","","United Avenue","13-121-0055","AQS"
"11/23/2006","62","","E. Rivers School","13-121-0032","AQS"
"11/24/2006","59","","South DeKalb","13-089-0002","AQS"
"11/25/2006","71","","Gwinnett","13-135-0002","AQS"
"11/26/2006","73","","E. Rivers School","13-121-0032","AQS"
"11/27/2006","71","","Gwinnett","13-135-0002","AQS"
"11/28/2006","68","","Kennesaw","13-067-0003","AQS"
"11/29/2006","56","","United Avenue","13-121-0055","AQS"
"11/30/2006","46","","United Avenue","13-121-0055","AQS"
"12/01/2006","41","","United Avenue","13-121-0055","AQS"
"12/02/2006","59","","E. Rivers School","13-121-0032","AQS"
"12/03/2006","58","","E. Rivers School","13-121-0032","AQS"
"12/04/2006","55","","Forest Park","13-063-0091","AQS"
"12/05/2006","61","","United Avenue","13-121-0055","AQS"
"12/06/2006","72","","United Avenue","13-121-0055","AQS"
"12/07/2006","154","","South DeKalb","13-089-0002","AQS"
"12/08/2006","54","","E. Rivers School","13-121-0032","AQS"
"12/09/2006","76","","E. Rivers School","13-121-0032","AQS"
"12/10/2006","93","","Kennesaw","13-067-0003","AQS"
"12/11/2006","73","","Gwinnett","13-135-0002","AQS"
"12/12/2006","62","","South DeKalb","13-089-0002","AQS"
"12/13/2006","72","","United Avenue","13-121-0055","AQS"
"12/14/2006","82","","United Avenue","13-121-0055","AQS"
"12/15/2006","70","","South DeKalb","13-089-0002","AQS"
"12/16/2006","77","","Forest Park","13-063-0091","AQS"
"12/17/2006","82","","United Avenue","13-121-0055","AQS"
"12/18/2006","84","","United Avenue","13-121-0055","AQS"
"12/19/2006","88","","Forest Park","13-063-0091","AQS"
"12/20/2006","64","","Newnan","13-077-0002","AQS"
"12/21/2006","65","","E. Rivers School","13-121-0032","AQS"
"12/22/2006","47","","United Avenue","13-121-0055","AQS"
"12/23/2006","51","","E. Rivers School","13-121-0032","AQS"
"12/24/2006","55","","United Avenue","13-121-0055","AQS"
"12/25/2006","33","","South DeKalb","13-089-0002","AQS"
"12/26/2006","45","","United Avenue","13-121-0055","AQS"
"12/27/2006","60","","United Avenue","13-121-0055","AQS"
"12/28/2006","70","","South DeKalb","13-089-0002","AQS"
"12/29/2006","60","","E. Rivers School","13-121-0032","AQS"
"12/30/2006","59","","E. Rivers School","13-121-0032","AQS"
"12/31/2006","51","","South DeKalb","13-089-0002","AQS"
"01/01/2007","47","","United Avenue","13-121-0055","AQS"
"01/02/2007","52","","United Avenue","13-121-0055","AQS"
"01/03/2007","57","","South DeKalb","13-089-0002","AQS"
"01/04/2007","60","","United Avenue","13-121-0055","AQS"
"01/05/2007","44","","United Avenue","13-121-0055","AQS"
"01/06/2007","58","","United Avenue","13-121-0055","AQS"
"01/07/2007","62","","United Avenue","13-121-0055","AQS"
"01/08/2007","36","","United Avenue","13-121-0055","AQS"
"01/09/2007","41","","United Avenue","13-121-0055","AQS"
"01/10/2007","48","","United Avenue","13-121-0055","AQS"
"01/11/2007","56","","South DeKalb","13-089-0002","AQS"
"01/12/2007","63","","Doraville","13-089-2001","AQS"
"01/13/2007","68","","United Avenue","13-121-0055","AQS"
"01/14/2007","64","","United Avenue","13-121-0055","AQS"
"01/15/2007","51","","United Avenue","13-121-0055","AQS"
"01/16/2007","48","","United Avenue","13-121-0055","AQS"
"01/17/2007","51","","United Avenue","13-121-0055","AQS"
"01/18/2007","59","","Kennesaw","13-067-0003","AQS"
